Coordinate [pointx=42772, pointy=-21149, velx=-4, vely=2]
Coordinate [pointx=-21066, pointy=42720, velx=2, vely=-4]
Coordinate [pointx=10862, pointy=32083, velx=-1, vely=-3]
Coordinate [pointx=21474, pointy=-53083, velx=-2, vely=5]
Coordinate [pointx=-10434, pointy=-10497, velx=1, vely=1]
Coordinate [pointx=-21054, pointy=53364, velx=2, vely=-5]
Coordinate [pointx=21534, pointy=42723, velx=-2, vely=-4]
Coordinate [pointx=10861, pointy=-21147, velx=-1, vely=2]
Coordinate [pointx=10857, pointy=-10502, velx=-1, vely=1]
Coordinate [pointx=53461, pointy=32079, velx=-5, vely=-3]
Coordinate [pointx=32132, pointy=-10505, velx=-3, vely=1]
Coordinate [pointx=-42362, pointy=-21142, velx=4, vely=2]
Coordinate [pointx=-42396, pointy=32074, velx=4, vely=-3]
Coordinate [pointx=53469, pointy=-21151, velx=-5, vely=2]
Coordinate [pointx=-21098, pointy=42723, velx=2, vely=-4]
Coordinate [pointx=-42378, pointy=32080, velx=4, vely=-3]
Coordinate [pointx=-21074, pointy=42726, velx=2, vely=-4]
Coordinate [pointx=10881, pointy=-10500, velx=-1, vely=1]
Coordinate [pointx=21514, pointy=53367, velx=-2, vely=-5]
Coordinate [pointx=42764, pointy=-53080, velx=-4, vely=5]
Coordinate [pointx=32151, pointy=53368, velx=-3, vely=-5]
Coordinate [pointx=-21090, pointy=21437, velx=2, vely=-2]
Coordinate [pointx=10877, pointy=-53078, velx=-1, vely=5]
Coordinate [pointx=-10445, pointy=-31796, velx=1, vely=3]
Coordinate [pointx=42796, pointy=42722, velx=-4, vely=-4]
Coordinate [pointx=-31740, pointy=-21147, velx=3, vely=2]
Coordinate [pointx=-42344, pointy=-53083, velx=4, vely=5]
Coordinate [pointx=-21087, pointy=-31794, velx=2, vely=3]
Coordinate [pointx=-31691, pointy=32082, velx=3, vely=-3]
Coordinate [pointx=21490, pointy=-31790, velx=-2, vely=3]
Coordinate [pointx=42792, pointy=-10506, velx=-4, vely=1]
Coordinate [pointx=53462, pointy=32074, velx=-5, vely=-3]
Coordinate [pointx=-53025, pointy=53366, velx=5, vely=-5]
Coordinate [pointx=-31722, pointy=21438, velx=3, vely=-2]
Coordinate [pointx=53469, pointy=10786, velx=-5, vely=-1]
Coordinate [pointx=10841, pointy=32081, velx=-1, vely=-3]
Coordinate [pointx=53449, pointy=21431, velx=-5, vely=-2]
Coordinate [pointx=-21074, pointy=-10501, velx=2, vely=1]
Coordinate [pointx=21487, pointy=-53084, velx=-2, vely=5]
Coordinate [pointx=-53015, pointy=-53082, velx=5, vely=5]
Coordinate [pointx=42777, pointy=-31787, velx=-4, vely=3]
Coordinate [pointx=42764, pointy=-10502, velx=-4, vely=1]
Coordinate [pointx=53422, pointy=10787, velx=-5, vely=-1]
Coordinate [pointx=42772, pointy=-10503, velx=-4, vely=1]
Coordinate [pointx=53465, pointy=32081, velx=-5, vely=-3]
Coordinate [pointx=-10421, pointy=10793, velx=1, vely=-1]
Coordinate [pointx=42815, pointy=-42432, velx=-4, vely=4]
Coordinate [pointx=-21106, pointy=-53079, velx=2, vely=5]
Coordinate [pointx=-53033, pointy=53369, velx=5, vely=-5]
Coordinate [pointx=42766, pointy=53368, velx=-4, vely=-5]
Coordinate [pointx=42767, pointy=-21151, velx=-4, vely=2]
Coordinate [pointx=21526, pointy=-31789, velx=-2, vely=3]
Coordinate [pointx=-21082, pointy=-21148, velx=2, vely=2]
Coordinate [pointx=53410, pointy=-21147, velx=-5, vely=2]
Coordinate [pointx=-31691, pointy=-10500, velx=3, vely=1]
Coordinate [pointx=42805, pointy=32078, velx=-4, vely=-3]
Coordinate [pointx=-42378, pointy=-31790, velx=4, vely=3]
Coordinate [pointx=-21050, pointy=-21143, velx=2, vely=2]
Coordinate [pointx=-21106, pointy=-42436, velx=2, vely=4]
Coordinate [pointx=-53001, pointy=53365, velx=5, vely=-5]
Coordinate [pointx=53469, pointy=-21145, velx=-5, vely=2]
Coordinate [pointx=10833, pointy=-31796, velx=-1, vely=3]
Coordinate [pointx=-53009, pointy=-10498, velx=5, vely=1]
Coordinate [pointx=32159, pointy=-31789, velx=-3, vely=3]
Coordinate [pointx=-53007, pointy=-53077, velx=5, vely=5]
Coordinate [pointx=21474, pointy=-21149, velx=-2, vely=2]
Coordinate [pointx=53427, pointy=-53083, velx=-5, vely=5]
Coordinate [pointx=10861, pointy=42720, velx=-1, vely=-4]
Coordinate [pointx=-53017, pointy=10786, velx=5, vely=-1]
Coordinate [pointx=-42335, pointy=-42441, velx=4, vely=4]
Coordinate [pointx=-31751, pointy=-42432, velx=3, vely=4]
Coordinate [pointx=32171, pointy=21429, velx=-3, vely=-2]
Coordinate [pointx=-53016, pointy=-53086, velx=5, vely=5]
Coordinate [pointx=21522, pointy=21436, velx=-2, vely=-2]
Coordinate [pointx=-53009, pointy=-53079, velx=5, vely=5]
Coordinate [pointx=53433, pointy=42721, velx=-5, vely=-4]
Coordinate [pointx=53420, pointy=-42441, velx=-5, vely=4]
Coordinate [pointx=42777, pointy=-10504, velx=-4, vely=1]
Coordinate [pointx=-10416, pointy=32074, velx=1, vely=-3]
Coordinate [pointx=-42396, pointy=10788, velx=4, vely=-1]
Coordinate [pointx=21490, pointy=10791, velx=-2, vely=-1]
Coordinate [pointx=32128, pointy=-21147, velx=-3, vely=2]
Coordinate [pointx=53461, pointy=-21143, velx=-5, vely=2]
Coordinate [pointx=-21063, pointy=-21149, velx=2, vely=2]
Coordinate [pointx=-31743, pointy=-31792, velx=3, vely=3]
Coordinate [pointx=21514, pointy=21432, velx=-2, vely=-2]
Coordinate [pointx=10861, pointy=10791, velx=-1, vely=-1]
Coordinate [pointx=10881, pointy=-31792, velx=-1, vely=3]
Coordinate [pointx=10889, pointy=-31795, velx=-1, vely=3]
Coordinate [pointx=32143, pointy=-21145, velx=-3, vely=2]
Coordinate [pointx=-21093, pointy=-42439, velx=2, vely=4]
Coordinate [pointx=-10450, pointy=21433, velx=1, vely=-2]
Coordinate [pointx=-31719, pointy=21430, velx=3, vely=-2]
Coordinate [pointx=10865, pointy=53373, velx=-1, vely=-5]
Coordinate [pointx=-10405, pointy=-21144, velx=1, vely=2]
Coordinate [pointx=21534, pointy=-42433, velx=-2, vely=4]
Coordinate [pointx=-31727, pointy=-53083, velx=3, vely=5]
Coordinate [pointx=-53021, pointy=21437, velx=5, vely=-2]
Coordinate [pointx=53449, pointy=-42434, velx=-5, vely=4]
Coordinate [pointx=-21046, pointy=10789, velx=2, vely=-1]
Coordinate [pointx=21518, pointy=32082, velx=-2, vely=-3]
Coordinate [pointx=-31727, pointy=-10506, velx=3, vely=1]
Coordinate [pointx=-53033, pointy=10793, velx=5, vely=-1]
Coordinate [pointx=10842, pointy=-10498, velx=-1, vely=1]
Coordinate [pointx=53425, pointy=32075, velx=-5, vely=-3]
Coordinate [pointx=-53004, pointy=32082, velx=5, vely=-3]
Coordinate [pointx=-53016, pointy=-53082, velx=5, vely=5]
Coordinate [pointx=-21098, pointy=21435, velx=2, vely=-2]
Coordinate [pointx=-10417, pointy=42720, velx=1, vely=-4]
Coordinate [pointx=-42363, pointy=21429, velx=4, vely=-2]
Coordinate [pointx=32151, pointy=10790, velx=-3, vely=-1]
Coordinate [pointx=-53025, pointy=21431, velx=5, vely=-2]
Coordinate [pointx=-10437, pointy=-42435, velx=1, vely=4]
Coordinate [pointx=-31735, pointy=-10502, velx=3, vely=1]
Coordinate [pointx=-21098, pointy=-21149, velx=2, vely=2]
Coordinate [pointx=10830, pointy=10784, velx=-1, vely=-1]
Coordinate [pointx=10838, pointy=-21151, velx=-1, vely=2]
Coordinate [pointx=-21085, pointy=-21142, velx=2, vely=2]
Coordinate [pointx=32119, pointy=-53079, velx=-3, vely=5]
Coordinate [pointx=-31700, pointy=21438, velx=3, vely=-2]
Coordinate [pointx=-31714, pointy=-31795, velx=3, vely=3]
Coordinate [pointx=32135, pointy=-10504, velx=-3, vely=1]
Coordinate [pointx=10889, pointy=-21149, velx=-1, vely=2]
Coordinate [pointx=-31742, pointy=-53086, velx=3, vely=5]
Coordinate [pointx=-31726, pointy=-42432, velx=3, vely=4]
Coordinate [pointx=-31727, pointy=-53079, velx=3, vely=5]
Coordinate [pointx=-42369, pointy=-31792, velx=4, vely=3]
Coordinate [pointx=10830, pointy=-42437, velx=-1, vely=4]
Coordinate [pointx=32179, pointy=42725, velx=-3, vely=-4]
Coordinate [pointx=21483, pointy=-31796, velx=-2, vely=3]
Coordinate [pointx=53435, pointy=32074, velx=-5, vely=-3]
Coordinate [pointx=32132, pointy=-31788, velx=-3, vely=3]
Coordinate [pointx=53449, pointy=10787, velx=-5, vely=-1]
Coordinate [pointx=-21066, pointy=-42439, velx=2, vely=4]
Coordinate [pointx=-21065, pointy=10789, velx=2, vely=-1]
Coordinate [pointx=-31693, pointy=-31787, velx=3, vely=3]
Coordinate [pointx=-42380, pointy=42727, velx=4, vely=-4]
Coordinate [pointx=42788, pointy=10785, velx=-4, vely=-1]
Coordinate [pointx=-21054, pointy=-21150, velx=2, vely=2]
Coordinate [pointx=42772, pointy=-42434, velx=-4, vely=4]
Coordinate [pointx=-31722, pointy=42719, velx=3, vely=-4]
Coordinate [pointx=10837, pointy=-31794, velx=-1, vely=3]
Coordinate [pointx=21498, pointy=-42436, velx=-2, vely=4]
Coordinate [pointx=42797, pointy=10793, velx=-4, vely=-1]
Coordinate [pointx=-42372, pointy=42724, velx=4, vely=-4]
Coordinate [pointx=32171, pointy=10787, velx=-3, vely=-1]
Coordinate [pointx=-21085, pointy=-42441, velx=2, vely=4]
Coordinate [pointx=-21046, pointy=10791, velx=2, vely=-1]
Coordinate [pointx=-31709, pointy=53370, velx=3, vely=-5]
Coordinate [pointx=21503, pointy=21438, velx=-2, vely=-2]
Coordinate [pointx=-31695, pointy=-10498, velx=3, vely=1]
Coordinate [pointx=-10411, pointy=-53077, velx=1, vely=5]
Coordinate [pointx=32169, pointy=21438, velx=-3, vely=-2]
Coordinate [pointx=53454, pointy=-42441, velx=-5, vely=4]
Coordinate [pointx=21487, pointy=10785, velx=-2, vely=-1]
Coordinate [pointx=-31711, pointy=10792, velx=3, vely=-1]
Coordinate [pointx=-21085, pointy=-10497, velx=2, vely=1]
Coordinate [pointx=-42360, pointy=-42432, velx=4, vely=4]
Coordinate [pointx=-21090, pointy=21434, velx=2, vely=-2]
Coordinate [pointx=-31739, pointy=32074, velx=3, vely=-3]
Coordinate [pointx=53417, pointy=-10502, velx=-5, vely=1]
Coordinate [pointx=-42364, pointy=-21149, velx=4, vely=2]
Coordinate [pointx=42767, pointy=-21147, velx=-4, vely=2]
Coordinate [pointx=21502, pointy=10784, velx=-2, vely=-1]
Coordinate [pointx=-53016, pointy=-53077, velx=5, vely=5]
Coordinate [pointx=-10401, pointy=10787, velx=1, vely=-1]
Coordinate [pointx=-31715, pointy=53373, velx=3, vely=-5]
Coordinate [pointx=10869, pointy=53364, velx=-1, vely=-5]
Coordinate [pointx=10848, pointy=-10499, velx=-1, vely=1]
Coordinate [pointx=10880, pointy=-10497, velx=-1, vely=1]
Coordinate [pointx=-31749, pointy=32074, velx=3, vely=-3]
Coordinate [pointx=-42388, pointy=-31788, velx=4, vely=3]
Coordinate [pointx=-10440, pointy=42719, velx=1, vely=-4]
Coordinate [pointx=10857, pointy=-53082, velx=-1, vely=5]
Coordinate [pointx=53461, pointy=-21147, velx=-5, vely=2]
Coordinate [pointx=-21063, pointy=-10499, velx=2, vely=1]
Coordinate [pointx=32124, pointy=42728, velx=-3, vely=-4]
Coordinate [pointx=-21102, pointy=10788, velx=2, vely=-1]
Coordinate [pointx=32179, pointy=32079, velx=-3, vely=-3]
Coordinate [pointx=10837, pointy=32075, velx=-1, vely=-3]
Coordinate [pointx=-42383, pointy=32077, velx=4, vely=-3]
Coordinate [pointx=42769, pointy=21429, velx=-4, vely=-2]
Coordinate [pointx=21495, pointy=-10497, velx=-2, vely=1]
Coordinate [pointx=32151, pointy=-42436, velx=-3, vely=4]
Coordinate [pointx=32129, pointy=10784, velx=-3, vely=-1]
Coordinate [pointx=-31750, pointy=10793, velx=3, vely=-1]
Coordinate [pointx=53449, pointy=-42432, velx=-5, vely=4]
Coordinate [pointx=32128, pointy=-42437, velx=-3, vely=4]
Coordinate [pointx=-42377, pointy=-21144, velx=4, vely=2]
Coordinate [pointx=10833, pointy=53373, velx=-1, vely=-5]
Coordinate [pointx=32143, pointy=32083, velx=-3, vely=-3]
Coordinate [pointx=42816, pointy=-31792, velx=-4, vely=3]
Coordinate [pointx=-31727, pointy=42728, velx=3, vely=-4]
Coordinate [pointx=-21103, pointy=42719, velx=2, vely=-4]
Coordinate [pointx=-42368, pointy=21438, velx=4, vely=-2]
Coordinate [pointx=-21098, pointy=-10500, velx=2, vely=1]
Coordinate [pointx=-31735, pointy=-10506, velx=3, vely=1]
Coordinate [pointx=-42391, pointy=32074, velx=4, vely=-3]
Coordinate [pointx=-21095, pointy=-53081, velx=2, vely=5]
Coordinate [pointx=-21079, pointy=-21147, velx=2, vely=2]
Coordinate [pointx=32151, pointy=53366, velx=-3, vely=-5]
Coordinate [pointx=-42396, pointy=10785, velx=4, vely=-1]
Coordinate [pointx=32119, pointy=21434, velx=-3, vely=-2]
Coordinate [pointx=-31716, pointy=-42432, velx=3, vely=4]
Coordinate [pointx=32162, pointy=32081, velx=-3, vely=-3]
Coordinate [pointx=10845, pointy=21430, velx=-1, vely=-2]
Coordinate [pointx=32119, pointy=-21149, velx=-3, vely=2]
Coordinate [pointx=53461, pointy=-10504, velx=-5, vely=1]
Coordinate [pointx=-21074, pointy=-42438, velx=2, vely=4]
Coordinate [pointx=10873, pointy=53372, velx=-1, vely=-5]
Coordinate [pointx=-42380, pointy=-31792, velx=4, vely=3]
Coordinate [pointx=-31751, pointy=10788, velx=3, vely=-1]
Coordinate [pointx=-31735, pointy=-53086, velx=3, vely=5]
Coordinate [pointx=21499, pointy=10788, velx=-2, vely=-1]
Coordinate [pointx=32147, pointy=10784, velx=-3, vely=-1]
Coordinate [pointx=-10409, pointy=42721, velx=1, vely=-4]
Coordinate [pointx=21492, pointy=-42435, velx=-2, vely=4]
Coordinate [pointx=10885, pointy=-42434, velx=-1, vely=4]
Coordinate [pointx=53409, pointy=-42433, velx=-5, vely=4]
Coordinate [pointx=-31699, pointy=10784, velx=3, vely=-1]
Coordinate [pointx=53459, pointy=-31787, velx=-5, vely=3]
Coordinate [pointx=-21093, pointy=-42433, velx=2, vely=4]
Coordinate [pointx=53436, pointy=-42432, velx=-5, vely=4]
Coordinate [pointx=42764, pointy=42727, velx=-4, vely=-4]
Coordinate [pointx=-52982, pointy=10793, velx=5, vely=-1]
Coordinate [pointx=-21061, pointy=-53077, velx=2, vely=5]
Coordinate [pointx=21525, pointy=10784, velx=-2, vely=-1]
Coordinate [pointx=-10401, pointy=-53083, velx=1, vely=5]
Coordinate [pointx=10833, pointy=10793, velx=-1, vely=-1]
Coordinate [pointx=42767, pointy=10793, velx=-4, vely=-1]
Coordinate [pointx=10869, pointy=21429, velx=-1, vely=-2]
Coordinate [pointx=-42370, pointy=-53082, velx=4, vely=5]
Coordinate [pointx=10881, pointy=53372, velx=-1, vely=-5]
Coordinate [pointx=-10461, pointy=21429, velx=1, vely=-2]
Coordinate [pointx=-21080, pointy=-42432, velx=2, vely=4]
Coordinate [pointx=42817, pointy=10784, velx=-4, vely=-1]
Coordinate [pointx=42805, pointy=-10501, velx=-4, vely=1]
Coordinate [pointx=-42371, pointy=-31796, velx=4, vely=3]
Coordinate [pointx=-42388, pointy=32079, velx=4, vely=-3]
Coordinate [pointx=21490, pointy=21436, velx=-2, vely=-2]
Coordinate [pointx=-10421, pointy=42726, velx=1, vely=-4]
Coordinate [pointx=21492, pointy=42722, velx=-2, vely=-4]
Coordinate [pointx=42799, pointy=42728, velx=-4, vely=-4]
Coordinate [pointx=-53025, pointy=10787, velx=5, vely=-1]
Coordinate [pointx=21474, pointy=-42441, velx=-2, vely=4]
Coordinate [pointx=53433, pointy=10792, velx=-5, vely=-1]
Coordinate [pointx=32130, pointy=-31796, velx=-3, vely=3]
Coordinate [pointx=53438, pointy=-10506, velx=-5, vely=1]
Coordinate [pointx=-10445, pointy=-21146, velx=1, vely=2]
Coordinate [pointx=21518, pointy=-10505, velx=-2, vely=1]
Coordinate [pointx=32151, pointy=42722, velx=-3, vely=-4]
Coordinate [pointx=21514, pointy=42723, velx=-2, vely=-4]
Coordinate [pointx=-31739, pointy=21433, velx=3, vely=-2]
Coordinate [pointx=-21094, pointy=-10506, velx=2, vely=1]
Coordinate [pointx=32129, pointy=-31792, velx=-3, vely=3]
Coordinate [pointx=42824, pointy=-53084, velx=-4, vely=5]
Coordinate [pointx=-52999, pointy=-42435, velx=5, vely=4]
Coordinate [pointx=53409, pointy=-31794, velx=-5, vely=3]
Coordinate [pointx=-42353, pointy=-10504, velx=4, vely=1]
Coordinate [pointx=32132, pointy=-42432, velx=-3, vely=4]
Coordinate [pointx=42780, pointy=-42436, velx=-4, vely=4]
Coordinate [pointx=10888, pointy=-31796, velx=-1, vely=3]
Coordinate [pointx=-10421, pointy=-53077, velx=1, vely=5]
Coordinate [pointx=-53033, pointy=-21150, velx=5, vely=2]
Coordinate [pointx=21494, pointy=-53085, velx=-2, vely=5]
Coordinate [pointx=21533, pointy=-10506, velx=-2, vely=1]
Coordinate [pointx=53421, pointy=32080, velx=-5, vely=-3]
Coordinate [pointx=32159, pointy=-10501, velx=-3, vely=1]
Coordinate [pointx=10881, pointy=21436, velx=-1, vely=-2]
Coordinate [pointx=21493, pointy=32081, velx=-2, vely=-3]
Coordinate [pointx=-42363, pointy=53364, velx=4, vely=-5]
Coordinate [pointx=-52993, pointy=42727, velx=5, vely=-4]
Coordinate [pointx=10841, pointy=-31792, velx=-1, vely=3]
Coordinate [pointx=10871, pointy=-53083, velx=-1, vely=5]
Coordinate [pointx=-42379, pointy=53369, velx=4, vely=-5]
Coordinate [pointx=21518, pointy=21430, velx=-2, vely=-2]
Coordinate [pointx=-31727, pointy=32078, velx=3, vely=-3]
Coordinate [pointx=-42361, pointy=-31796, velx=4, vely=3]
Coordinate [pointx=32123, pointy=-21142, velx=-3, vely=2]
Coordinate [pointx=10856, pointy=10784, velx=-1, vely=-1]
Coordinate [pointx=10853, pointy=21430, velx=-1, vely=-2]
Coordinate [pointx=21498, pointy=-31787, velx=-2, vely=3]
Coordinate [pointx=-21098, pointy=-10506, velx=2, vely=1]
Coordinate [pointx=-42388, pointy=-10501, velx=4, vely=1]
Coordinate [pointx=-42395, pointy=-31796, velx=4, vely=3]
Coordinate [pointx=10870, pointy=-42436, velx=-1, vely=4]
Coordinate [pointx=42824, pointy=-10501, velx=-4, vely=1]
Coordinate [pointx=42800, pointy=10784, velx=-4, vely=-1]


Coordinate [pointx=42768, pointy=-21147, velx=-4, vely=2]
Coordinate [pointx=42800, pointy=-31787, velx=-4, vely=3]
Coordinate [pointx=-10444, pointy=-10501, velx=1, vely=1]
Coordinate [pointx=-31746, pointy=21436, velx=3, vely=-2]
Coordinate [pointx=-31719, pointy=32071, velx=3, vely=-3]
Coordinate [pointx=53431, pointy=-21145, velx=-5, vely=2]
Coordinate [pointx=-42332, pointy=-42433, velx=4, vely=4]
Coordinate [pointx=-42376, pointy=21433, velx=4, vely=-2]
Coordinate [pointx=21506, pointy=-10505, velx=-2, vely=1]
Coordinate [pointx=-31724, pointy=42721, velx=3, vely=-4]
Coordinate [pointx=-42379, pointy=32080, velx=4, vely=-3]
Coordinate [pointx=42760, pointy=21436, velx=-4, vely=-2]
Coordinate [pointx=-53032, pointy=-53081, velx=5, vely=5]
Coordinate [pointx=53431, pointy=-10505, velx=-5, vely=1]
Coordinate [pointx=-10444, pointy=32080, velx=1, vely=-3]
Coordinate [pointx=-52996, pointy=-53076, velx=5, vely=5]
Coordinate [pointx=-31721, pointy=-21149, velx=3, vely=2]
Coordinate [pointx=-21104, pointy=42716, velx=2, vely=-4]
Coordinate [pointx=10846, pointy=-53078, velx=-1, vely=5]
Coordinate [pointx=21481, pointy=-21145, velx=-2, vely=2]
Coordinate [pointx=53428, pointy=-21144, velx=-5, vely=2]
Coordinate [pointx=32118, pointy=42715, velx=-3, vely=-4]
Coordinate [pointx=10833, pointy=53359, velx=-1, vely=-5]
Coordinate [pointx=-31705, pointy=-42430, velx=3, vely=4]
Coordinate [pointx=-21055, pointy=-10496, velx=2, vely=1]
Coordinate [pointx=-42368, pointy=-53077, velx=4, vely=5]
Coordinate [pointx=32140, pointy=-10501, velx=-3, vely=1]
Coordinate [pointx=-31748, pointy=-53073, velx=3, vely=5]
Coordinate [pointx=-21067, pointy=42716, velx=2, vely=-4]
Coordinate [pointx=-21047, pointy=-42428, velx=2, vely=4]
Coordinate [pointx=-42372, pointy=42723, velx=4, vely=-4]
Coordinate [pointx=42786, pointy=-21149, velx=-4, vely=2]
Coordinate [pointx=10848, pointy=32079, velx=-1, vely=-3]
Coordinate [pointx=-31721, pointy=-21140, velx=3, vely=2]
Coordinate [pointx=32156, pointy=-10497, velx=-3, vely=1]
Coordinate [pointx=32177, pointy=-21149, velx=-3, vely=2]
Coordinate [pointx=21489, pointy=53363, velx=-2, vely=-5]
Coordinate [pointx=32159, pointy=-21147, velx=-3, vely=2]
Coordinate [pointx=21480, pointy=-10504, velx=-2, vely=1]
Coordinate [pointx=-52976, pointy=-53074, velx=5, vely=5]
Coordinate [pointx=42792, pointy=32076, velx=-4, vely=-3]
Coordinate [pointx=-21064, pointy=42716, velx=2, vely=-4]
Coordinate [pointx=10861, pointy=32080, velx=-1, vely=-3]
Coordinate [pointx=21472, pointy=-53078, velx=-2, vely=5]
Coordinate [pointx=-10433, pointy=-10496, velx=1, vely=1]
Coordinate [pointx=-21052, pointy=53359, velx=2, vely=-5]
Coordinate [pointx=21532, pointy=42719, velx=-2, vely=-4]
Coordinate [pointx=10860, pointy=-21145, velx=-1, vely=2]
Coordinate [pointx=10856, pointy=-10501, velx=-1, vely=1]
Coordinate [pointx=53456, pointy=32076, velx=-5, vely=-3]
Coordinate [pointx=32129, pointy=-10504, velx=-3, vely=1]
Coordinate [pointx=-42358, pointy=-21140, velx=4, vely=2]
Coordinate [pointx=-42392, pointy=32071, velx=4, vely=-3]
Coordinate [pointx=53464, pointy=-21149, velx=-5, vely=2]
Coordinate [pointx=-21096, pointy=42719, velx=2, vely=-4]
Coordinate [pointx=-42374, pointy=32077, velx=4, vely=-3]
Coordinate [pointx=-21072, pointy=42722, velx=2, vely=-4]
Coordinate [pointx=10880, pointy=-10499, velx=-1, vely=1]
Coordinate [pointx=21512, pointy=53362, velx=-2, vely=-5]
Coordinate [pointx=42760, pointy=-53075, velx=-4, vely=5]
Coordinate [pointx=32148, pointy=53363, velx=-3, vely=-5]
Coordinate [pointx=-21088, pointy=21435, velx=2, vely=-2]
Coordinate [pointx=10876, pointy=-53073, velx=-1, vely=5]
Coordinate [pointx=-10444, pointy=-31793, velx=1, vely=3]
Coordinate [pointx=42792, pointy=42718, velx=-4, vely=-4]
Coordinate [pointx=-31737, pointy=-21145, velx=3, vely=2]
Coordinate [pointx=-42340, pointy=-53078, velx=4, vely=5]
Coordinate [pointx=-21085, pointy=-31791, velx=2, vely=3]
Coordinate [pointx=-31688, pointy=32079, velx=3, vely=-3]
Coordinate [pointx=21488, pointy=-31787, velx=-2, vely=3]
Coordinate [pointx=42788, pointy=-10505, velx=-4, vely=1]
Coordinate [pointx=53457, pointy=32071, velx=-5, vely=-3]
Coordinate [pointx=-53020, pointy=53361, velx=5, vely=-5]
Coordinate [pointx=-31719, pointy=21436, velx=3, vely=-2]
Coordinate [pointx=53464, pointy=10785, velx=-5, vely=-1]
Coordinate [pointx=10840, pointy=32078, velx=-1, vely=-3]
Coordinate [pointx=53444, pointy=21429, velx=-5, vely=-2]
Coordinate [pointx=-21072, pointy=-10500, velx=2, vely=1]
Coordinate [pointx=21485, pointy=-53079, velx=-2, vely=5]
Coordinate [pointx=-53010, pointy=-53077, velx=5, vely=5]
Coordinate [pointx=42773, pointy=-31784, velx=-4, vely=3]
Coordinate [pointx=42760, pointy=-10501, velx=-4, vely=1]
Coordinate [pointx=53417, pointy=10786, velx=-5, vely=-1]
Coordinate [pointx=42768, pointy=-10502, velx=-4, vely=1]
Coordinate [pointx=53460, pointy=32078, velx=-5, vely=-3]
Coordinate [pointx=-10420, pointy=10792, velx=1, vely=-1]
Coordinate [pointx=42811, pointy=-42428, velx=-4, vely=4]
Coordinate [pointx=-21104, pointy=-53074, velx=2, vely=5]
Coordinate [pointx=-53028, pointy=53364, velx=5, vely=-5]
Coordinate [pointx=42762, pointy=53363, velx=-4, vely=-5]
Coordinate [pointx=42763, pointy=-21149, velx=-4, vely=2]
Coordinate [pointx=21524, pointy=-31786, velx=-2, vely=3]
Coordinate [pointx=-21080, pointy=-21146, velx=2, vely=2]
Coordinate [pointx=53405, pointy=-21145, velx=-5, vely=2]
Coordinate [pointx=-31688, pointy=-10499, velx=3, vely=1]
